team,three_pt_rate_off_gravity,three_pt_rate_def_gravity,three_pt_rate_off_avg,three_pt_rate_def_avg
Monmouth,0.7259155090442646,0.20065937215785312,34.35483749757756,38.46657595822683
Montana,1.3904427468725657,1.6227449552467987,41.86974964479599,38.228671385034964
Montana St.,1.2760379200070364,1.272697287381126,44.465544014516375,34.62407243965558
Morehead St.,0.8458989264206527,-1.4329270064071171,30.35868306367801,38.76116183977067
Morgan St.,1.1097115808100262,0.3270500359968306,35.45729464100527,32.971320216868634
Mount St. Mary's,0.9624699888611428,0.9349331952927841,42.62033086639945,44.784219895341586
Murray St.,0.5772036916377947,0.9876053285916249,44.749894792549654,27.662482616530507
N.C. State,0.7747385237939198,0.952834845153079,43.85823925062217,45.67324454742376
NJIT,1.6582280484188765,-0.43077884411086037,40.34583045704052,40.35938380648299
Navy,0.9161924847943752,0.740689132535586,33.38064775820222,45.92305319108599
Nebraska,0.9343977320783516,0.9240519278409695,50.742266283760365,48.948551430859325
Nebraska Omaha,1.4926948642431361,0.9474546187114864,40.93417773243398,45.8929339993853
Nevada,1.1946838794975272,0.9491695803612912,32.42548373916821,43.22256828436586
New Hampshire,1.2445647728581142,1.4412212420069248,43.17116548419239,36.809309019938375
New Haven,0.8646505139234207,-1.1543869058623315,40.289547489748124,38.39187847491496
New Mexico,0.5631422442427474,0.981266075432702,42.14756413174327,48.520976645490755
New Mexico St.,1.727407257045483,0.9058181325287216,39.06904065765558,41.697150627205026
New Orleans,0.9476893566624589,1.320388459700963,33.463811855795655,40.416973636514214
Niagara,0.7554142780816906,1.4061069228445389,40.574310498122124,40.54777625557646
Nicholls St.,1.1581143853788265,0.008606870146280718,43.7707838186475,38.3286502651785
Norfolk St.,1.01182725360841,2.6520229783077482,30.874235046222257,42.057185263033915
North Alabama,1.2301483198098764,0.38685942101854187,33.958656647825016,43.19702013133331
North Carolina,0.19463821306162563,1.0303497366944498,42.01214411122272,36.99317950161434
North Carolina A&T,0.9809965355259505,0.5588771906858427,32.956809506996706,37.857770388764315
North Carolina Central,1.1760315590812,2.9367581450209665,33.88436563078802,41.07068950310955
North Dakota,1.2730686576757475,0.397096998839882,40.75262321097701,43.04080097598873
North Dakota St.,0.8300727013619444,0.9516425826984543,42.68360690451807,44.717441017043996
North Florida,1.0767140170976244,-0.14187322756495005,51.561590455239276,38.98511510017682
North Texas,1.1903964982956996,0.6977906192684937,32.51128714439902,38.11645985858989
Northeastern,1.0325355173352198,1.1793405595832018,37.74118995321645,35.35956210496178
Northern Arizona,0.5634012913208074,-0.5512173497356082,36.959347999690394,39.81583307391217
Northern Colorado,1.3138928666068355,1.1745894130931855,41.508193174888895,34.84425798395189
Northern Illinois,0.8458002632992535,0.7441556989552834,44.929597200990585,37.85138058863252
Northern Iowa,0.21071847408179892,0.8203048352895241,39.34955405210926,41.717117478060686
Northern Kentucky,0.9988383412107203,1.0901079936026554,44.783862268502176,37.847191202503
Northwestern,1.199907245151802,-1.0797018742445637,34.420925874192456,40.324566400297456
Northwestern St.,0.9430169342049031,0.48077834464704533,34.05996380133963,38.156776147943795
Notre Dame,0.7825005421688219,0.9502297626660591,43.54879589366576,47.27075208621598
Oakland,0.9431725701085061,0.6180670350774675,33.837570093509036,41.64494720956643
Ohio,0.863181572297879,0.9116272571631959,38.20705766108567,33.48527032694049
Ohio St.,-0.9756796237634352,-0.9275127615398604,40.179657484201684,40.4404815499144
Oklahoma,0.9182266561776949,-0.03431162844775042,44.44169863331516,39.582813655577006
Oklahoma St.,0.938381131760182,1.2678674749867218,36.317409413624155,42.85884748610872
Old Dominion,1.0485011102642614,1.524473989411117,36.295006412921275,36.41992668610451
Oral Roberts,0.900072051448401,1.3208981945648834,45.46069869677634,36.70308035467038
Oregon,0.48325070706895884,0.7135462152500511,42.77401188320171,42.02076872682047
Oregon St.,1.0495202934639545,0.622165887322643,44.48779036977409,41.29978529973351
Pacific,0.9528564524029701,0.618756686171733,35.01213329273091,43.09695761964955
Penn,0.7660271264394785,2.5079773352342816,34.87500489303997,38.96921250916688
Penn St.,1.4865468780365085,0.8887237293813203,38.02866107266559,43.405996820318016
Pepperdine,0.007520446072223515,0.92032970078158,39.48319216550351,40.09386363719525
Pittsburgh,0.811687281514427,0.053420636336898995,42.50748206792511,40.90446554765427
Portland,0.8256104102006419,0.7431326655932705,35.49507607500263,45.61113599954735
Portland St.,0.622180330939151,-0.20655997428350534,34.205076147861654,39.594549567141655
Prairie View A&M,1.0592109658849973,0.4935030903219609,31.07919839640755,33.443519561213755
Presbyterian,1.0232206056211102,1.2672880581654955,28.12014275994927,35.96749215032649
Princeton,1.0935098635933471,-0.24470608422955392,44.274685386411136,41.28198374202003
Providence,2.136247182329081,1.1604500750119486,41.07351870655993,39.06522681465092
Purdue,-0.14346842913991825,0.6530408763302402,40.6660194281142,45.722275388372466
Purdue Fort Wayne,1.0330144149455045,0.9367664395568829,45.07378369468755,43.95222090440536
Queens,0.8349382789998425,-0.9834077665606977,46.54118192833991,39.66521525567902
Quinnipiac,0.9114644877435117,0.8721198301175355,33.71681002580181,35.70489372457056
Radford,1.0100480306630601,0.5430270823474626,45.480410402160686,38.12814571481512
Rhode Island,0.8406360896293199,0.5570752844067645,43.19149717117699,41.54990457242158
Rice,0.9438465567274646,0.6087543980910682,44.11843208640729,35.81687835768224
Richmond,0.8351127056680921,0.5907306684332249,42.41573959025421,45.2801071030202
Rider,0.9900324585340977,-0.4658934476550015,27.28076099178578,39.95308023340878
Robert Morris,0.9198803095828758,1.0777496924036276,40.756163733579264,36.19481782782432
Rutgers,1.2316545631477904,0.31226318001077175,34.56413613503067,38.673905527975016
SIU Edwardsville,0.8152173780597975,-0.6327628198557373,36.13470858796013,38.581001606894276
SMU,1.1910502239333565,0.6883671390017941,35.55859373837369,47.05937059593483
Sacramento St.,0.6376381314971374,0.913505537033532,35.49216256514192,43.77865541815442
Sacred Heart,1.0644288347137154,1.0509341793442895,50.582837996744466,43.65798500686239
Saint Francis,0.6681566256489205,1.4397456221146445,37.920833137722255,41.1588736293607
Saint Joseph's,1.0549305499221846,0.25677134232752,45.902977018178134,39.707100861532275
Saint Louis,1.107495358854404,0.42267444480066046,44.72485032218529,40.99698153100777
Saint Mary's,0.8209054454073433,1.4064870587469709,36.01454232317591,36.74400851949587
Saint Peter's,0.438794104652512,0.8494474864334789,38.49781787733932,35.48082978235347
Sam Houston St.,1.1959286574677175,0.6588069564031684,35.673740378854475,42.2023296800039
Samford,0.7879682938112783,1.747992651575647,45.76843470564317,35.779587769794176
San Diego,1.1964572926361736,0.4125878861106815,43.71641409339984,39.99296857447052
San Diego St.,1.0802197359138774,1.0593201924300275,33.84351416284425,48.15120434001473
San Francisco,0.9526564422034701,0.915798164947414,46.09380099331432,36.01622405491718
San Jose St.,1.453756060822967,-0.00526047045024334,37.769817399835,39.494526918760684
Santa Clara,0.9475572621456343,0.8973410752508199,44.824072652345436,38.20706098755528
Seattle,0.046373458664680796,1.1143610268375737,39.063910744054084,37.60766683263155
Seton Hall,0.8312748865486598,0.6771808966832243,26.981024762239645,42.362670713962544
Siena,0.9078781880148747,0.7259415432650497,31.664046597149436,39.143244724373595
South Alabama,1.2417316757689556,1.0779200417377157,36.372898365289,64.34362516816131
South Carolina,1.197212333028575,0.9488652477208047,44.30281001514169,35.22558316268332
South Carolina St.,1.0288171230761285,-1.8469316924812655,33.33229450205564,39.080516440487536
South Dakota,1.1044496095369714,1.1067211591122386,36.13003550858255,29.88560717149882
South Dakota St.,-0.25628622597576783,0.8940231994086614,39.04403617449149,47.13857253953094
South Florida,0.9461963894952339,0.3185936800967952,44.09418350336464,39.86219584325658
Southeast Missouri St.,0.8346838293899039,0.7252308593547248,35.866772538030894,33.218334400180915
Southeastern Louisiana,0.0033432968899938034,0.1372097885089392,39.58335983973745,37.72214710871658
Southern,0.9430937769595027,-1.6435275999953154,32.23568648451563,38.10095119636959
Southern Illinois,1.0958051169992469,0.4198115341549188,29.191990640730292,41.54317561602315
Southern Indiana,0.7990761964972235,0.768796850090479,39.867543996346235,26.956156086680988
Southern Miss,1.1835307651501086,0.13473688078582804,28.959727910574948,39.39166606605873
Southern Utah,0.7513578016151825,0.6739384507362414,34.51834350148243,29.697894193973333
St. Bonaventure,0.998817603949322,0.01594375104684255,31.555014167994987,40.98458494164278
St. John's,0.7753883091852622,1.3091217980683523,34.052586467456386,34.325616404650056
St. Thomas,1.0111841670529929,0.49842055743853986,46.641919953508015,41.271376191462764
Stanford,0.7410845685099576,1.1831709513305813,44.19773384670823,33.72970849745829
Stephen F. Austin,-0.06813794436620181,0.7059771857602763,39.3957297629372,35.06761879422893
Stetson,0.9609959274842175,-0.06646971805968244,44.78834967503202,41.164924056764555
Stonehill,1.0904024822465015,0.7508411709582046,40.55177009309218,32.49840459352412
Stony Brook,1.2032190971046033,1.6760732079613272,45.79559817989978,39.89576552534336
Syracuse,1.3726064161201326,1.0445117422666832,37.03383793014223,35.67429879064579
TCU,0.9497378432326774,-0.034500026954951454,36.49787860157327,39.09488669876874
Tarleton St.,0.8146645772689621,2.7953776135105044,24.45381631666658,40.88175729728626
Temple,1.0621726156083666,1.1421496690153976,36.47857347629307,36.39220548115855
Tennessee,0.9047976360384058,0.5731258800483784,31.96786201554679,44.0952435582011
Tennessee Martin,1.14909395919018,0.7885827711478051,47.223743621307726,39.57484216422841
Tennessee St.,0.9448442359405101,0.29627458081683195,30.712839025791233,35.949766422255024
Tennessee Tech,0.44477285965289515,0.22361655365440736,36.74494832038555,35.761010023574606
Texas,0.9808051494234091,1.1648904998804646,36.25070866038396,33.85657035396384
Texas A&M,1.0385162601056024,1.255037787826093,46.21280927570077,41.372912829366115
Texas A&M Corpus Chris,1.0181031344435796,0.7239905778969931,31.486501019793412,34.66949862703051
Texas Southern,1.0300020372127316,2.0200193194597307,32.66715759366654,42.6350549296283
Texas St.,1.1481292635519236,0.39911753228272845,24.641229111545474,37.44157581484382
Texas Tech,0.9567702282942443,0.8267955962874626,47.91268564000901,35.26771817602292
The Citadel,0.9755314276377917,0.4340732043478768,47.79261868735968,44.20711195695351
Toledo,1.2276859037522696,0.66147362450987,32.34217628344836,40.39161648879471
Towson,1.0937651194362934,0.3240064326390964,34.68541540925314,41.46342377545567
Troy,0.6131228789806551,-1.5625659145090207,45.77287010659758,38.94430810349645
Tulane,0.9575176583102162,2.1439687874321756,44.090788521316966,40.16563692068898
Tulsa,1.062988565055884,1.2682593430213025,46.299246878735865,40.01497287811914
UAB,1.1880716366529012,0.2994293597809213,30.670556236334487,38.92781586342908
UC Davis,0.8138688786900323,-0.027435749990603275,43.48802206511893,38.23050273006702
UC Irvine,1.11354505624475,0.6707316630359684,28.36595267465465,37.801044683104
UC Riverside,1.7182079171209523,0.9597764519963435,38.19092228672228,31.908571952094253
UC San Diego,0.963613150259537,1.1782945307575712,41.923118137989924,43.7713998636231
UC Santa Barbara,0.902321969377999,0.46869643457962895,44.11971848794321,36.07969837511345
UCF,1.072159901012931,0.2193257766494333,34.503988234744,40.04535923640878
UCLA,1.1412983923941267,1.0736169054144529,35.502014781937895,45.01289118813256
UMBC,-0.11327673096806377,1.283550989077148,38.55464028308988,37.85889210347191
UMKC,0.8673252742795088,0.9084602001510742,36.85357210509951,38.80255182554752
UMass Lowell,0.8592330336171959,1.3043175465842256,31.02403893362904,34.722391129902725
UNC Asheville,0.9557324484944745,1.5845671117593574,33.751780400596346,38.73514726508239
UNC Greensboro,0.33706779288526456,0.4566556912816625,40.35259851904199,46.499289725255686
UNC Wilmington,-0.07956319593938065,1.2438310697879171,38.97643778819263,42.75592834343714
UNLV,1.3746948190232107,1.3119428102596953,35.68097061035137,36.95315230160241
USC,1.2501087451293529,-0.4713471890910903,34.13104408792892,40.41414388561556
USC Upstate,0.8979926819662571,1.0787715907781172,36.05189525077919,35.896958808788035
UT Arlington,0.7563885464092415,0.6535002774016873,31.299433566534393,31.57926535923163
UT Rio Grande Valley,1.2314285672259648,0.18296039930805144,43.68109061928521,38.240256153980816
UTEP,-0.5514778859487566,0.7122572248564695,40.39183257817304,37.718751019275786
UTSA,0.9556850824072469,1.4098138303671583,40.91160159615661,42.901542351637794
Utah,1.1127280725273436,0.8950399711376201,37.50306115348383,33.75115045332284
Utah St.,0.40534949981716767,0.7477374064003751,41.278972088780314,41.35831128151072
Utah Tech,-1.927768311144247,0.0611255873453845,38.885070343049804,34.517366878680555
Utah Valley,0.7831291654403872,0.422216225064879,33.1711565609652,32.76057430505787
VCU,0.8136772890665909,1.197007639105608,44.22952694458683,34.16422880622582
VMI,0.9883624580791751,0.6693282653621845,53.58073318552927,46.80435787627297
Valparaiso,1.0591953613722764,1.421349344080727,36.791406561909106,36.8259729815986
Vanderbilt,0.8018692930706591,1.0471033292863283,43.79971865952601,38.34046568576137
Vermont,1.255325412234501,0.13786906456514342,44.74717793719834,41.140896447456456
Villanova,1.2689103305808704,1.2817271639246621,45.776171748817355,36.96038931800581
Virginia,0.9116196830590197,1.1573673953719317,47.01558400200957,37.286405465825496
Virginia Tech,-0.26591187195206295,1.7006863232173668,39.86343733238373,39.329176184012596
Wagner,1.0003779628399587,0.32002263160766264,36.28859639667524,35.70224426929371
Wake Forest,0.9850292957474085,0.840122896850032,43.836347014974756,46.95646095265808
Washington,1.1316450606882302,0.9413784793554009,34.37582562743475,37.81189341581698
Washington St.,1.0498213066424154,0.6570563475180712,44.83336784690537,37.05051332997417
Weber St.,0.6915251326548578,0.6209863033699118,32.971875474594036,38.9310201214236
West Georgia,1.2449786452780451,2.305880010005237,33.03443523808338,36.98863282072019
West Virginia,0.9781262088505803,-0.13134185152806552,43.02298283817797,38.48697850903409
Western Carolina,0.5548364579120781,0.14537875697648728,41.03557055321942,43.7294843407389
Western Illinois,0.8330351055764497,0.461441772418889,33.33604416377119,34.74114500892732
Western Kentucky,0.26922955890134503,0.8135114972748596,39.33688766359764,43.02093188558598
Western Michigan,0.758721128743543,1.392130938721577,36.05199032462969,43.49455551133569
Wichita St.,1.0012856056889887,1.046708628284549,33.65339551346345,33.358056755027064
William & Mary,1.1344135990908097,1.106560976396807,42.50925969029545,45.36868783741262
Winthrop,1.2649581548885005,0.9102285802799407,44.38336432426983,42.62222089546458
Wisconsin,0.9373705369947413,-0.05362687799630777,51.95879871232265,40.15389738070439
Wofford,0.7288210444539984,2.6184412378344306,43.23718855363047,37.880486130806396
Wright St.,1.0072999400476081,1.348501630174895,33.522701427667805,34.13983168156233
Wyoming,0.5431930329154251,0.867122575006556,43.83969718767158,35.81790245319164
Xavier,2.339103710303801,1.1602688225071494,40.403927922687004,35.56610339006432
Yale,0.9242185842782239,0.5820284456655684,35.95365082976086,44.700959213304635
Youngstown St.,0.9887083157188451,0.9695101328124461,49.3157252935997,34.32689517535778
